Magnification,Measured Magnification,Deviation error
0.94999999999999996,-0.0034137725830079013,2.9420087614703221e-08
0.96111111111111103,-0.0015493986341688082,3.4264009677182097e-08
0.97222222222222221,-0.0044148763020833703,6.4058052339798303e-06
0.98333333333333328,-0.0049994913736981506,9.5419813037810148e-08
0.99444444444444446,-0.0057418484157987226,1.9933137273817878e-07
1.0055555555555555,-0.0051063368055557223,6.8690337007097768e-06
1.0166666666666666,-0.0072942606608070726,6.0446748439532078e-08
1.0277777777777777,-0.0043848673502600022,1.5640875466888354e-07
1.038888888888889,-0.00338444179958719,1.0790178154320535e-07
1.05,-0.0038964843750000089,7.4030718065189431e-06
