Magnification,Measured Magnification,Deviation error
0.94999999999999996,-0.0044531249999999467,5.9794047320872974e-06
0.96111111111111103,-0.0028392198350695175,7.4852759831962604e-07
0.97222222222222221,-0.003364562988281361,1.9319012074931319e-06
0.98333333333333328,-0.0050054931640625133,7.0089730976592384e-07
0.99444444444444446,-0.0039816623263888573,6.4261580603435865e-06
1.0055555555555555,-0.0026943291558163551,1.5601502918613729e-06
1.0166666666666666,-0.0036362711588537877,3.9650785674118887e-07
1.0277777777777777,-0.0038140190972222321,6.8176461869779379e-06
1.038888888888889,-0.0041469319661455728,1.1218931149458919e-06
1.05,-0.0042553710937500711,7.065810324206089e-06
