Magnification,Measured Magnification,Deviation error
0.94999999999999996,-0.0053308486938477007,1.914731370776782e-08
0.96111111111111103,-0.0015493986341688082,2.9789936002634872e-08
0.97222222222222221,-0.0033641921149361043,5.0837216245943735e-08
0.98333333333333328,-0.0050054931640625133,3.8582746919393675e-08
0.99444444444444446,-0.0050453609890407369,2.794250031177827e-08
1.0055555555555555,-0.0005278184678818576,5.176694025017716e-08
1.0166666666666666,-0.0021733856201175961,3.3725446117956368e-08
1.0277777777777777,0.000123892890082411,2.5596172961591713e-08
1.038888888888889,-0.0041469319661455728,1.8086984814944198e-07
1.05,-0.0028791046142575549,3.3131164887905523e-08
