GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033315.92-280332.6,13.91,0.01,0.32,0.01,6.63,0.01,0.777,0.011,1.6,1,0,53.316325,-28.059058
J033320.37-280343.3,15.57,0.01,0.3,0.02,3.39,0.01,0.938,0.001,81.8,0,0,53.334888,-28.06204
J033321.80-280344.3,21.58,0.09,13.93,0.11,0.37,0.26,0.745,0.056,19.2,1,1,53.34085,-28.06231
J033328.07-280346.6,24.14,0.1,5.21,0.12,0.97,0.27,0.719,0.059,-50.0,1,1,53.366943,-28.062952
J033321.72-280343.0,21.13,0.32,67.08,0.35,5.36,1.02,0.558,0.054,-62.2,1,0,53.340514,-28.061939
J033328.94-280344.4,23.22,0.12,19.79,0.14,0.66,0.29,0.302,0.064,-79.3,1,0,53.370589,-28.062339
J033322.29-280341.1,23.05,0.11,14.03,0.13,1.0,0.28,0.619,0.063,-41.1,1,1,53.342879,-28.061422
J033322.24-280339.2,20.05,0.01,0.3,0.17,1.17,0.92,0.14,0.001,50.1,1,0,53.342659,-28.060898
J033323.36-280340.4,22.96,0.08,6.3,0.1,1.18,0.27,0.804,0.051,55.2,1,1,53.347315,-28.061235
J033321.92-280335.4,21.56,0.1,43.4,0.12,0.45,0.27,0.123,0.059,48.4,1,1,53.341322,-28.059825
J033319.37-280338.9,23.82,0.06,4.14,0.09,1.65,0.28,0.428,0.04,53.6,1,1,53.330728,-28.060792
J033327.82-280337.9,22.25,0.04,4.43,0.08,5.08,0.43,0.806,0.026,38.6,1,1,53.365921,-28.060533
J033318.70-280337.9,22.74,0.06,4.11,0.09,2.98,0.39,0.847,0.032,-55.6,1,1,53.327933,-28.06054
J033317.31-280336.8,23.66,0.08,5.56,0.1,1.17,0.27,0.514,0.051,-27.6,1,1,53.322142,-28.060214
J033324.62-280331.5,18.74,0.01,0.3,0.18,0.41,1.05,0.277,0.001,-30.9,0,0,53.352583,-28.058754
J033325.78-280333.4,22.01,0.12,24.1,0.14,0.89,0.29,0.583,0.064,43.2,1,1,53.357398,-28.059273
J033318.05-280335.0,23.3,0.06,4.9,0.08,1.45,0.24,0.403,0.037,-73.0,1,1,53.325203,-28.059711
J033324.54-280331.2,18.96,0.01,0.3,0.05,2.9,0.24,0.133,0.001,60.2,0,0,53.352235,-28.058679
J033319.93-280331.4,19.87,0.01,0.3,0.08,2.55,0.4,0.065,0.001,-78.5,0,0,53.333048,-28.058733
J033325.00-280331.9,22.9,0.1,10.52,0.13,1.33,0.33,0.603,0.057,39.9,1,1,53.354147,-28.058854
J033322.56-280324.0,20.35,0.11,43.84,0.14,1.22,0.32,0.643,0.061,-42.4,1,1,53.343995,-28.056665
J033316.43-280329.9,23.95,0.08,4.14,0.12,2.85,0.47,0.53,0.039,-88.2,1,1,53.318449,-28.05831
J033325.80-280327.6,23.98,0.11,7.7,0.14,1.41,0.35,0.71,0.059,63.1,1,1,53.357517,-28.057673
J033315.75-280325.3,23.09,0.09,8.37,0.14,2.92,0.56,0.456,0.043,30.7,1,1,53.315638,-28.057021
J033315.09-280324.3,22.5,0.18,25.59,0.23,2.59,0.64,0.571,0.057,-42.2,1,1,53.312878,-28.056758
J033319.94-280325.0,23.57,0.15,17.66,0.18,1.86,0.47,0.351,0.059,77.3,1,1,53.333072,-28.056933
J033324.20-280323.4,23.31,0.09,9.01,0.11,0.65,0.26,0.389,0.057,-23.2,1,1,53.350822,-28.056492
J033323.00-280323.7,23.1,0.1,11.73,0.12,0.76,0.27,0.412,0.059,76.9,1,1,53.345847,-28.056592
J033318.12-280322.6,23.87,0.11,18.33,0.13,0.98,0.28,0.121,0.061,-35.3,1,1,53.325484,-28.056269
J033322.12-280320.6,21.56,0.05,8.87,0.1,4.46,0.48,0.494,0.029,-7.4,1,1,53.342152,-28.055717
J033315.62-280320.1,21.94,0.04,5.33,0.07,4.01,0.39,0.54,0.025,-78.7,1,1,53.315095,-28.055589
J033316.71-280319.5,22.24,0.1,13.48,0.13,1.52,0.36,0.664,0.055,54.1,1,1,53.319622,-28.055415
J033326.20-280320.0,23.61,0.12,9.81,0.17,2.89,0.61,0.398,0.046,-1.3,1,1,53.359147,-28.055566
J033326.12-280319.3,23.32,0.15,18.44,0.19,2.19,0.53,0.38,0.057,-44.6,1,1,53.358846,-28.055369
J033323.17-280316.0,23.78,0.15,23.78,0.2,2.74,0.62,0.117,0.051,26.9,1,1,53.346538,-28.054452
J033328.73-280314.2,20.08,0.01,0.3,0.01,4.6,0.01,0.262,0.011,32.1,0,0,53.369722,-28.053933
J033319.77-280314.3,20.48,0.01,0.3,0.01,4.14,0.01,0.748,0.011,-72.7,0,0,53.332376,-28.053986
J033326.89-280314.0,24.0,0.1,5.76,0.12,0.86,0.27,0.668,0.059,-22.3,1,1,53.362028,-28.053883
J033323.77-280312.6,23.44,0.1,15.42,0.13,0.63,0.27,0.228,0.061,-33.1,1,1,53.349052,-28.0535
J033322.84-280312.9,22.35,0.01,0.31,0.01,8.0,0.07,0.956,0.011,-14.4,0,0,53.345183,-28.053593
J033317.32-280311.2,23.2,0.1,10.58,0.12,0.36,0.27,0.423,0.059,-51.6,1,1,53.322165,-28.053113
J033319.24-280310.7,22.61,0.12,16.63,0.14,1.26,0.33,0.61,0.061,53.8,1,1,53.330172,-28.05298
J033319.22-280311.2,24.15,0.11,6.43,0.14,1.58,0.37,0.57,0.056,75.7,1,0,53.330078,-28.053116
J033328.40-280311.5,24.14,0.1,5.43,0.14,1.87,0.42,0.569,0.052,28.8,1,1,53.368351,-28.053191
J033317.60-280306.8,23.48,0.1,10.92,0.12,0.5,0.27,0.289,0.059,-8.4,1,1,53.323313,-28.051879
J033314.63-280307.0,23.69,0.1,8.46,0.12,0.91,0.27,0.401,0.059,77.4,1,1,53.310951,-28.051946
J033328.73-280307.1,24.14,0.09,5.04,0.12,1.57,0.34,0.477,0.051,51.9,1,1,53.369707,-28.051975
J033323.46-280303.0,21.45,0.1,25.65,0.12,0.63,0.27,0.382,0.059,-48.4,1,1,53.347769,-28.050841
J033318.95-280303.1,23.96,0.08,6.49,0.14,8.0,0.6,0.187,0.033,23.1,0,0,53.328976,-28.050865
J033318.55-280252.4,18.8,0.1,56.47,0.17,8.0,0.76,0.608,0.037,3.0,0,0,53.327292,-28.047889
J033324.83-280302.5,23.17,0.09,8.05,0.11,0.68,0.25,0.457,0.054,70.8,1,1,53.353479,-28.0507
J033322.48-280258.2,23.45,0.12,24.76,0.15,1.51,0.38,0.131,0.059,-12.7,1,1,53.343651,-28.049513
J033318.00-280254.9,21.05,0.1,21.54,0.12,0.69,0.27,0.873,0.06,-6.7,1,1,53.325006,-28.04859
J033321.93-280256.8,23.17,0.09,11.01,0.12,1.35,0.31,0.275,0.054,-17.0,1,1,53.341362,-28.049125
J033315.07-280251.2,19.99,0.07,23.73,0.09,1.62,0.29,0.508,0.043,36.2,1,1,53.312792,-28.047552
J033322.42-280256.8,23.06,0.14,16.72,0.15,0.93,0.31,0.843,0.067,11.6,1,1,53.343414,-28.049107
J033317.47-280254.3,22.79,0.11,24.33,0.13,1.09,0.29,0.208,0.061,1.4,1,1,53.322797,-28.048412
J033319.28-280254.9,21.5,0.1,16.08,0.12,0.95,0.27,0.754,0.058,71.7,1,1,53.330339,-28.048593
J033318.99-280255.8,23.05,0.13,23.74,0.16,1.33,0.36,0.294,0.063,9.9,1,1,53.32912,-28.04883
J033327.79-280251.0,21.07,0.11,25.55,0.13,1.05,0.29,0.84,0.061,40.7,1,1,53.365805,-28.047509
J033324.63-280253.8,24.51,0.12,11.73,0.14,0.2,0.3,0.303,0.065,-57.5,0,0,53.352607,-28.048289
J033324.63-280254.4,22.54,0.21,38.63,0.23,1.77,0.52,0.574,0.07,-84.3,1,0,53.352615,-28.048448
J033327.40-280253.2,21.05,0.01,0.3,0.09,2.32,0.43,0.158,0.001,-88.2,0,0,53.36415,-28.048124
J033328.50-280251.8,22.85,0.11,11.79,0.13,1.25,0.32,0.647,0.059,-6.3,1,1,53.368749,-28.047714
J033314.64-280251.3,22.79,0.1,13.52,0.12,0.2,0.27,0.362,0.059,63.0,0,0,53.310998,-28.047575
J033318.99-280249.8,23.97,0.09,5.74,0.12,0.58,0.27,0.566,0.058,7.0,1,1,53.329127,-28.047167
J033314.93-280248.8,22.97,0.1,13.63,0.12,1.09,0.29,0.34,0.059,-1.8,1,1,53.312194,-28.046892
J033321.90-280248.6,23.25,0.04,3.46,0.05,0.78,0.13,0.391,0.024,-43.4,1,1,53.341235,-28.046847
J033321.85-280248.2,23.1,0.04,3.01,0.06,0.81,0.12,0.501,0.023,-68.1,1,1,53.341043,-28.046718
J033325.06-280243.5,22.81,0.04,5.2,0.07,2.81,0.3,0.304,0.026,-20.4,1,1,53.354433,-28.04543
J033326.06-280242.5,21.77,0.08,12.09,0.1,1.04,0.24,0.581,0.051,-34.9,1,1,53.358601,-28.045135
J033328.08-280242.8,21.87,0.12,17.3,0.17,2.56,0.55,0.731,0.049,44.3,1,1,53.367008,-28.04521
J033323.67-280242.1,23.78,0.11,15.95,0.13,0.57,0.28,0.209,0.062,54.5,1,1,53.348624,-28.045025
J033328.24-280239.7,22.19,0.11,26.62,0.14,0.47,0.29,0.39,0.063,44.8,1,1,53.367653,-28.044373
J033324.35-280239.4,22.85,0.12,14.15,0.16,1.83,0.43,0.538,0.055,-1.1,1,1,53.351442,-28.044285
J033321.08-280237.9,22.81,0.1,9.43,0.12,1.08,0.28,0.672,0.058,-14.8,1,1,53.337828,-28.043871
J033322.29-280238.6,23.72,0.01,0.62,0.11,0.2,0.43,0.149,0.001,-51.8,1,0,53.342858,-28.044051
J033324.81-280235.5,21.31,0.05,6.85,0.09,3.61,0.42,0.932,0.028,-20.9,1,1,53.353377,-28.043207
J033323.92-280236.2,20.85,0.01,0.3,0.12,1.7,0.65,0.17,0.001,-11.5,0,0,53.349651,-28.043386
J033325.34-280237.2,22.94,0.13,23.98,0.16,1.38,0.37,0.315,0.062,-69.6,1,1,53.355569,-28.043664
J033321.50-280236.2,23.98,0.11,12.36,0.14,1.3,0.33,0.23,0.059,10.2,1,1,53.339576,-28.04339
J033315.36-280234.9,22.3,0.1,16.24,0.12,0.69,0.27,0.495,0.06,-40.0,1,1,53.314001,-28.043034
J033326.16-280236.0,23.53,0.1,9.33,0.12,0.2,0.27,0.331,0.058,-45.1,0,0,53.35901,-28.04332
J033316.19-280234.0,23.75,0.1,8.38,0.12,1.22,0.31,0.368,0.057,85.1,1,1,53.317443,-28.042784
J033327.76-280233.7,23.93,0.09,6.5,0.11,1.05,0.27,0.428,0.057,-29.1,1,1,53.365677,-28.042703
J033328.42-280232.2,22.33,0.11,15.29,0.14,1.16,0.31,0.836,0.061,-53.9,1,1,53.368397,-28.042269
J033316.21-280223.2,19.0,0.09,46.01,0.15,5.94,0.67,0.506,0.035,4.2,1,1,53.317546,-28.039786
J033320.91-280231.0,21.0,0.59,218.91,0.49,4.44,1.21,0.463,0.074,-28.1,1,0,53.337126,-28.041946
J033328.16-280232.1,23.7,0.1,13.21,0.13,0.38,0.27,0.241,0.061,81.9,1,1,53.367313,-28.042263
J033325.16-280229.3,24.01,0.11,11.18,0.13,1.05,0.28,0.269,0.061,-17.6,1,1,53.354821,-28.041481
J033319.73-280227.4,22.4,0.11,22.65,0.13,0.66,0.28,0.301,0.061,63.1,1,1,53.332205,-28.040949
J033316.65-280228.0,23.88,0.13,12.52,0.14,0.57,0.3,0.515,0.065,-37.4,1,1,53.319364,-28.041105
J033319.13-280225.1,21.69,0.19,48.91,0.21,1.78,0.5,0.584,0.067,12.9,1,1,53.329728,-28.040311
J033320.47-280226.3,23.83,0.07,3.33,0.08,1.18,0.23,0.723,0.044,-7.0,1,1,53.335309,-28.040638
J033326.75-280225.4,24.14,0.1,7.74,0.12,1.12,0.29,0.277,0.057,51.0,1,1,53.361478,-28.040401
J033319.15-280222.0,22.54,0.11,18.96,0.13,0.52,0.28,0.427,0.062,-13.7,1,1,53.32979,-28.039441
J033323.10-280223.2,23.28,0.13,11.24,0.18,2.65,0.58,0.56,0.049,13.5,1,1,53.346256,-28.039787
J033318.08-280223.2,23.7,0.12,17.73,0.14,0.94,0.29,0.27,0.064,-40.9,1,1,53.325348,-28.039769
J033322.69-280219.5,21.85,0.19,31.15,0.22,2.4,0.61,0.8,0.059,16.8,1,1,53.344547,-28.038739
J033322.23-280220.3,23.68,0.14,12.99,0.16,1.26,0.35,0.62,0.064,83.1,1,1,53.342631,-28.038961
J033316.34-280219.0,22.93,0.11,12.76,0.14,1.26,0.32,0.572,0.059,37.5,1,1,53.318067,-28.038608
J033321.70-280218.7,19.0,0.47,500.0,0.44,3.09,0.94,0.435,0.078,32.9,0,0,53.340424,-28.038531
J033321.27-280218.5,18.31,0.2,500.0,0.24,1.05,0.37,0.32,0.081,16.1,0,0,53.338631,-28.03848
J033322.71-280218.7,21.84,0.33,191.8,0.36,2.06,0.64,0.141,0.08,68.7,1,0,53.344644,-28.038517
J033317.48-280218.6,24.24,0.1,5.66,0.12,0.68,0.27,0.71,0.06,-84.9,1,1,53.322853,-28.038511
J033326.08-280218.8,23.29,0.19,16.14,0.25,3.54,0.8,0.51,0.048,71.1,1,1,53.358676,-28.038568
J033316.20-280218.2,23.75,0.07,3.44,0.09,1.29,0.25,0.816,0.045,75.8,1,1,53.317515,-28.0384
J033315.85-280212.9,20.98,0.05,9.79,0.07,2.48,0.29,0.536,0.028,-80.3,1,1,53.316055,-28.036924
J033325.53-280159.3,17.08,0.01,2.95,0.13,0.2,0.56,0.914,0.001,-47.1,0,0,53.356358,-28.033152
J033325.88-280214.3,24.42,0.08,4.17,0.09,0.77,0.23,0.397,0.05,33.8,1,1,53.357838,-28.0373
J033327.02-280211.9,22.7,0.11,11.28,0.17,2.79,0.58,0.61,0.046,-65.0,1,1,53.362592,-28.036629
J033318.19-280209.0,23.7,0.05,2.75,0.09,4.6,0.44,0.597,0.027,79.6,1,1,53.325807,-28.03584
J033321.58-280208.3,22.51,0.03,1.91,0.05,3.92,0.31,0.874,0.019,-14.7,1,1,53.339925,-28.035625
J033316.39-280204.5,23.12,0.11,17.82,0.13,0.42,0.28,0.266,0.062,4.8,1,1,53.31828,-28.034587
J033325.61-280204.8,24.03,0.1,6.26,0.12,0.49,0.27,0.469,0.058,64.6,1,1,53.356697,-28.034676
J033323.07-280204.7,22.98,0.03,2.29,0.06,3.68,0.33,0.71,0.022,-85.0,1,0,53.346117,-28.034646
J033326.95-280202.5,23.57,0.17,13.94,0.21,2.45,0.6,0.639,0.057,87.1,1,1,53.362287,-28.034019
J033324.95-280155.0,21.28,0.1,26.39,0.12,1.01,0.27,0.49,0.06,-13.7,1,1,53.353954,-28.031952
J033316.25-280156.7,21.86,0.12,28.04,0.14,1.18,0.32,0.506,0.062,56.7,1,1,53.317727,-28.032413
J033316.04-280153.5,18.71,0.01,0.3,0.13,1.92,0.71,0.116,0.001,-16.6,0,0,53.316817,-28.031524
J033322.71-280157.3,22.0,0.09,10.51,0.15,6.94,0.68,0.627,0.035,-88.8,1,1,53.344642,-28.032588
J033319.08-280156.5,23.31,0.09,6.39,0.12,1.58,0.34,0.621,0.05,-16.0,1,1,53.329507,-28.032366
J033315.42-280155.8,23.58,0.08,6.5,0.09,0.64,0.23,0.365,0.05,3.7,1,1,53.314239,-28.032158
J033324.03-280156.0,24.56,0.1,7.02,0.13,0.2,0.28,0.418,0.061,18.2,0,0,53.350107,-28.032224
J033317.35-280148.7,20.38,0.09,30.17,0.11,1.55,0.33,0.39,0.05,-36.1,1,1,53.322294,-28.030192
J033328.03-280154.4,23.26,0.15,15.17,0.21,3.21,0.69,0.372,0.045,-20.4,1,1,53.366805,-28.031772
J033315.02-280154.8,23.95,0.07,3.55,0.11,2.91,0.44,0.569,0.037,4.9,1,1,53.312591,-28.031881
J033320.68-280153.1,22.87,0.2,26.44,0.27,3.89,0.88,0.299,0.046,-24.2,1,1,53.336153,-28.031403
J033322.04-280152.9,23.21,0.1,10.34,0.12,0.3,0.27,0.383,0.058,-67.3,1,1,53.341814,-28.031352
J033317.69-280150.7,21.79,0.06,8.02,0.08,0.99,0.21,0.813,0.044,-10.8,1,1,53.323712,-28.030741
J033317.76-280151.3,21.76,0.45,77.87,0.44,3.43,0.99,0.869,0.072,-56.0,1,0,53.323988,-28.030906
J033325.31-280152.2,24.57,0.1,5.29,0.12,0.62,0.27,0.507,0.059,14.3,1,1,53.355445,-28.03116
J033316.97-280150.9,22.16,0.13,24.26,0.15,1.29,0.35,0.623,0.063,57.1,1,1,53.320706,-28.030794
J033315.15-280149.8,21.48,0.05,6.94,0.08,3.11,0.35,0.688,0.028,-38.0,1,1,53.313115,-28.030499
J033324.33-280150.1,23.82,0.12,9.0,0.15,1.34,0.35,0.736,0.061,41.8,1,1,53.351364,-28.030579
J033322.89-280147.5,22.8,0.11,23.28,0.13,0.58,0.28,0.237,0.062,36.6,1,1,53.345385,-28.029849
J033324.32-280148.0,21.59,0.15,45.62,0.17,1.09,0.34,0.618,0.07,-71.4,1,1,53.351324,-28.029997
J033316.48-280146.2,21.63,0.13,39.33,0.15,1.18,0.34,0.42,0.064,-57.5,1,1,53.318679,-28.029508
J033320.53-280145.3,20.95,0.15,52.96,0.17,1.55,0.42,0.535,0.063,-89.1,1,1,53.335551,-28.02924
J033322.16-280144.2,21.52,0.09,17.61,0.11,1.01,0.26,0.522,0.057,45.9,1,1,53.34234,-28.028953
J033324.33-280141.1,20.51,0.12,26.27,0.19,5.44,0.8,0.817,0.038,-86.5,1,1,53.351371,-28.02807
J033318.97-280144.0,23.38,0.01,0.3,0.11,1.32,0.52,0.234,0.001,-8.8,0,0,53.329029,-28.028876
J033322.10-280142.4,23.25,0.11,8.3,0.15,2.54,0.54,0.599,0.048,-28.7,1,1,53.342098,-28.028456
J033321.39-280141.8,22.09,0.11,11.61,0.18,8.0,0.78,0.751,0.038,13.9,0,0,53.339121,-28.028277
J033318.82-280142.9,24.5,0.1,5.7,0.12,0.84,0.27,0.522,0.06,-62.4,1,1,53.328401,-28.028577
J033319.90-280142.6,24.09,0.12,7.62,0.14,0.96,0.29,0.954,0.064,23.1,1,1,53.332902,-28.028503
J033319.33-280141.3,22.97,0.08,6.66,0.11,1.54,0.32,0.652,0.048,-75.3,1,1,53.330546,-28.028142
J033322.45-280139.6,23.72,0.16,8.09,0.23,4.56,0.83,0.8,0.039,-75.6,1,1,53.343558,-28.027656
J033319.05-280132.7,21.11,0.1,22.52,0.14,2.21,0.46,0.46,0.049,46.4,1,1,53.329378,-28.02575
J033322.76-280136.9,23.24,0.18,14.0,0.24,3.7,0.81,0.564,0.044,-50.6,1,1,53.344832,-28.026918
J033316.36-280137.6,24.17,0.1,6.43,0.13,1.62,0.38,0.466,0.055,81.3,1,1,53.318185,-28.027098
J033325.55-280137.6,23.94,0.13,6.87,0.18,3.04,0.64,0.658,0.045,-78.2,1,1,53.356474,-28.027123
J033317.40-280137.3,23.8,0.12,13.12,0.14,1.0,0.29,0.423,0.064,-83.0,1,1,53.322497,-28.027021
J033323.70-280135.4,22.53,0.13,54.4,0.14,0.61,0.3,0.102,0.066,-59.9,1,1,53.348763,-28.026503
J033325.86-280131.7,23.53,0.14,13.05,0.17,1.48,0.4,0.716,0.062,-23.7,1,1,53.357764,-28.025472
J033316.07-280131.4,22.33,0.01,0.3,0.01,4.41,0.01,0.312,0.011,-20.6,0,0,53.31697,-28.025398
J033320.52-280131.7,22.84,0.19,18.42,0.25,3.1,0.74,0.737,0.053,-66.0,1,1,53.335498,-28.025467
J033316.41-280130.4,23.63,0.11,7.06,0.14,1.84,0.42,0.673,0.053,-71.2,1,1,53.318392,-28.02511
J033316.12-280130.2,23.21,0.05,3.1,0.07,2.25,0.29,0.795,0.03,-36.1,1,1,53.317184,-28.025049
J033319.30-280127.7,23.24,0.11,11.55,0.13,0.5,0.28,0.702,0.063,-0.8,1,1,53.330404,-28.024368
J033316.93-280126.2,22.16,0.11,15.55,0.16,2.79,0.58,0.466,0.046,6.8,1,1,53.320544,-28.023941
J033317.03-280126.4,23.15,0.1,13.41,0.12,0.2,0.27,0.295,0.059,74.4,0,0,53.320973,-28.023993
J033327.11-280127.1,23.93,0.11,7.04,0.15,2.02,0.45,0.557,0.052,40.5,1,1,53.362969,-28.024206
J033327.71-280120.3,20.64,0.1,28.41,0.13,1.17,0.3,0.807,0.059,-8.4,1,1,53.365468,-28.022319
J033325.81-280124.5,23.59,0.1,7.11,0.12,0.31,0.27,0.69,0.059,-55.0,1,1,53.357557,-28.023483
J033322.83-280122.1,23.14,0.13,19.72,0.14,0.36,0.3,0.423,0.065,16.9,1,1,53.345105,-28.022807
J033325.65-280120.9,22.68,0.13,16.25,0.17,2.25,0.5,0.473,0.052,12.5,1,1,53.356856,-28.022469
J033327.25-280120.0,24.26,0.1,9.82,0.12,0.59,0.27,0.246,0.06,-19.9,1,1,53.363535,-28.022231
J033318.35-280117.3,22.21,0.11,35.99,0.13,0.31,0.28,0.188,0.063,83.9,1,1,53.32647,-28.021469
J033316.53-280116.8,22.56,0.11,14.04,0.13,1.04,0.29,0.786,0.062,9.6,1,1,53.318857,-28.021326
J033322.18-280117.3,23.73,0.11,11.24,0.13,1.1,0.29,0.352,0.06,-7.2,1,1,53.342432,-28.021483
J033316.07-280116.5,23.66,0.01,0.3,0.06,2.51,0.3,0.222,0.001,79.5,0,0,53.316949,-28.021248
J033318.55-280111.7,20.77,0.3,66.86,0.34,8.0,1.01,0.718,0.053,-13.7,0,0,53.327274,-28.019925
J033322.90-280111.9,22.82,0.08,10.7,0.09,0.71,0.23,0.257,0.05,-38.8,1,1,53.345424,-28.019972
J033321.72-280110.4,21.93,0.09,13.72,0.11,0.97,0.25,0.53,0.055,-44.3,1,1,53.34052,-28.019554
J033327.61-280111.1,22.9,0.13,16.07,0.14,0.82,0.3,0.791,0.065,29.6,1,1,53.365057,-28.019753
J033315.80-280106.4,22.84,0.11,15.25,0.13,0.92,0.28,0.583,0.063,-21.6,1,1,53.315841,-28.018433
J033319.51-280106.7,23.28,0.13,23.73,0.15,0.97,0.31,0.311,0.066,-12.0,1,1,53.331271,-28.018518
J033322.21-280043.0,15.51,0.01,0.31,0.01,8.0,0.01,0.917,0.011,-23.3,0,0,53.342557,-28.011957
J033322.24-280103.5,22.38,0.13,38.3,0.14,1.06,0.31,0.216,0.065,59.3,1,1,53.342683,-28.017633
J033322.20-280101.5,23.18,0.11,15.99,0.13,0.26,0.28,0.296,0.061,29.3,1,1,53.3425,-28.017078
J033326.74-280100.7,22.69,0.06,6.89,0.08,1.43,0.26,0.464,0.042,-88.5,1,1,53.361427,-28.016856
J033326.24-280058.6,23.73,0.08,4.74,0.1,0.86,0.24,0.678,0.052,14.5,1,1,53.359319,-28.01628
J033326.61-280058.5,24.04,0.09,4.84,0.11,1.24,0.29,0.548,0.052,35.3,1,1,53.360864,-28.016245
J033322.23-280050.0,18.26,0.01,0.3,0.2,0.77,1.21,0.11,0.001,-66.9,0,0,53.342626,-28.013892
J033322.57-280054.3,23.55,0.12,10.92,0.14,0.38,0.29,0.686,0.064,-33.0,1,1,53.344056,-28.015093
J033323.69-280054.4,23.06,0.09,9.34,0.11,0.8,0.26,0.461,0.057,-59.3,1,1,53.348725,-28.015112
J033326.61-280053.5,23.04,0.14,29.58,0.16,1.24,0.35,0.219,0.064,49.3,1,1,53.360854,-28.01485
J033317.60-280050.7,22.58,0.08,7.6,0.1,1.2,0.27,0.745,0.051,2.3,1,1,53.323337,-28.014095
J033325.48-280052.0,23.72,0.15,15.68,0.18,2.04,0.5,0.347,0.057,81.1,1,1,53.356172,-28.01445
J033322.03-280051.7,23.2,0.14,33.68,0.16,1.13,0.34,0.2,0.067,87.4,1,1,53.341779,-28.014357
J033320.77-280049.6,23.69,0.1,7.23,0.14,2.03,0.44,0.465,0.051,0.2,1,1,53.336521,-28.013786
J033327.11-280047.3,22.95,0.11,11.96,0.14,1.37,0.35,0.746,0.059,65.0,1,1,53.362978,-28.013144
J033324.04-280045.1,22.03,0.1,17.07,0.13,0.95,0.27,0.652,0.061,-62.5,1,1,53.350159,-28.012518
J033315.34-280046.0,23.17,0.12,21.24,0.14,0.96,0.29,0.266,0.064,77.6,1,1,53.313908,-28.012782
J033322.79-280045.5,22.16,0.11,10.46,0.18,4.96,0.78,0.866,0.038,17.3,1,1,53.344966,-28.012634
J033325.66-280042.9,23.68,0.1,5.18,0.17,4.07,0.75,0.77,0.037,-17.2,1,1,53.356899,-28.011914
J033318.22-280044.1,20.54,0.01,0.3,0.13,1.74,0.69,0.107,0.001,-63.6,0,0,53.32591,-28.012255
J033317.60-280042.6,21.45,0.08,15.56,0.1,1.0,0.24,0.521,0.052,11.5,1,1,53.323331,-28.011844
J033322.22-280032.4,22.07,0.15,34.76,0.17,1.0,0.33,0.775,0.071,-0.4,1,0,53.342563,-28.008995
J033323.47-280041.8,24.45,0.09,4.42,0.11,0.51,0.26,0.587,0.057,-29.6,1,1,53.347801,-28.011615
J033314.98-280033.6,20.61,0.08,24.27,0.1,0.8,0.24,0.461,0.052,55.4,1,1,53.312404,-28.009341
J033316.76-280044.2,22.14,0.06,7.37,0.08,0.92,0.21,0.705,0.045,-87.7,1,1,53.319835,-28.012284
J033325.42-280040.3,23.86,0.1,9.18,0.12,0.34,0.27,0.328,0.059,33.9,1,1,53.355899,-28.011188
J033317.81-280043.2,21.72,0.01,0.3,0.03,3.26,0.15,0.328,0.001,-82.3,0,0,53.324226,-28.011987
J033324.11-280032.6,23.36,0.07,5.58,0.09,0.71,0.23,0.547,0.049,72.2,1,1,53.350443,-28.009046
J033316.56-280032.6,22.92,0.08,6.55,0.11,1.66,0.33,0.656,0.047,87.2,1,1,53.318983,-28.009051
J033315.48-280040.1,24.15,0.11,11.18,0.13,0.37,0.28,0.253,0.061,-87.4,1,1,53.314482,-28.011136
J033320.51-280034.9,21.47,0.08,12.52,0.1,1.17,0.27,0.748,0.051,-52.0,1,1,53.33545,-28.009681
J033318.47-280039.2,23.52,0.01,0.53,0.13,1.1,0.59,0.048,0.001,-62.3,1,0,53.326966,-28.010879
J033319.72-280032.8,23.4,0.1,19.83,0.13,0.74,0.28,0.154,0.061,66.7,1,1,53.332154,-28.009101
J033325.45-280037.2,22.51,0.01,0.3,0.15,0.73,0.74,0.128,0.001,-33.9,0,0,53.356059,-28.010337
J033319.29-280032.7,21.69,0.11,24.05,0.13,0.4,0.28,0.711,0.063,40.5,1,1,53.330394,-28.009073
J033316.16-280031.6,23.05,0.17,25.22,0.22,2.57,0.62,0.294,0.055,85.3,1,1,53.31734,-28.008781
J033325.49-280346.6,25.17,0.11,5.67,0.13,0.2,0.28,0.405,0.062,-71.0,0,0,53.356192,-28.062936
J033322.36-280344.9,24.3,0.12,7.91,0.14,1.07,0.3,0.621,0.063,33.5,1,1,53.343161,-28.062463
J033325.21-280344.4,25.07,0.13,8.96,0.15,0.2,0.31,0.412,0.066,27.6,0,0,53.355054,-28.062338
J033316.42-280342.5,24.62,0.25,14.55,0.31,6.83,0.96,0.309,0.051,41.0,1,0,53.318414,-28.061808
J033327.01-280341.5,24.68,0.13,7.44,0.15,0.94,0.3,0.804,0.066,7.3,1,1,53.362531,-28.061518
J033316.15-280340.3,25.27,0.06,3.65,0.08,0.2,0.21,0.152,0.044,2.3,0,0,53.317283,-28.061184
J033317.83-280340.6,24.65,0.14,13.52,0.17,1.48,0.4,0.249,0.063,83.6,1,1,53.324307,-28.06128
J033321.23-280339.6,24.4,0.12,7.25,0.14,0.61,0.29,0.789,0.064,-22.0,1,1,53.338452,-28.060993
