GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033237.55-280331.0,22.74,0.13,18.99,0.14,0.86,0.3,0.642,0.065,53.4,1,1,53.156452,-28.058613
J033237.64-280046.3,24.09,0.1,9.51,0.13,1.51,0.36,0.229,0.055,30.3,1,1,53.156844,-28.012851
J033237.80-280339.9,22.24,0.09,10.41,0.11,0.5,0.26,0.814,0.057,-10.0,1,1,53.157485,-28.061072
J033237.72-280132.2,22.84,0.08,9.31,0.1,1.44,0.3,0.34,0.048,85.3,1,1,53.157185,-28.025616
J033239.48-280302.3,13.86,0.01,0.63,0.01,6.8,0.01,0.97,0.011,-19.8,1,0,53.164485,-28.050643
J033238.04-280110.8,22.86,0.1,14.18,0.13,0.48,0.28,0.491,0.061,19.8,1,1,53.158513,-28.019668
J033238.24-280202.3,22.74,0.11,15.11,0.14,1.36,0.34,0.468,0.058,87.2,1,1,53.159349,-28.03398
J033238.41-280206.9,23.12,0.1,7.29,0.12,1.04,0.27,0.87,0.058,-40.6,1,1,53.160035,-28.035237
J033239.09-280118.9,17.76,0.01,1.37,0.14,0.2,0.72,0.578,0.001,-3.1,0,0,53.162861,-28.021922
J033238.66-280344.0,22.6,0.23,18.44,0.3,7.01,0.93,0.994,0.048,-9.9,1,0,53.161064,-28.062218
J033238.76-280326.2,24.31,0.09,7.34,0.11,0.93,0.26,0.233,0.057,-10.5,1,1,53.161508,-28.05727
J033238.90-280106.3,23.34,0.09,6.28,0.13,1.85,0.39,0.703,0.05,-19.3,1,1,53.162092,-28.01841
J033238.93-280136.5,22.31,0.08,6.52,0.14,4.9,0.61,0.905,0.034,-23.9,1,1,53.162219,-28.026817
J033239.18-280208.8,20.91,0.12,35.41,0.15,1.57,0.39,0.656,0.059,-26.1,1,1,53.163257,-28.035765
J033238.95-280305.0,23.42,0.09,5.16,0.15,3.34,0.6,0.804,0.04,-49.7,1,1,53.162273,-28.051399
J033239.13-280206.5,22.64,0.1,14.01,0.12,0.58,0.27,0.364,0.058,16.9,1,1,53.163049,-28.035148
J033239.10-280208.8,23.17,0.09,9.25,0.11,0.2,0.25,0.366,0.055,-40.3,0,0,53.162935,-28.035775
J033241.11-280330.5,18.34,0.06,34.18,0.09,3.31,0.42,0.701,0.031,-70.5,1,1,53.171288,-28.058462
J033239.33-280311.3,21.04,0.25,59.1,0.32,8.0,0.97,0.524,0.051,9.1,0,0,53.16386,-28.05313
J033239.21-280148.4,22.73,0.13,13.83,0.18,2.72,0.58,0.527,0.048,-81.8,1,1,53.16339,-28.030112
J033239.27-280149.8,23.26,0.13,16.66,0.14,0.28,0.3,0.517,0.065,58.1,1,1,53.163623,-28.030489
J033239.62-280111.0,21.24,0.09,21.19,0.1,0.8,0.25,0.382,0.054,14.2,1,1,53.16509,-28.019711
J033239.45-280140.6,23.05,0.11,17.96,0.14,1.04,0.29,0.371,0.063,-13.4,1,1,53.164373,-28.027942
J033239.51-280129.5,23.12,0.1,12.96,0.12,0.59,0.27,0.345,0.06,25.8,1,1,53.164625,-28.024874
J033239.63-280043.0,19.2,0.01,0.38,0.18,0.37,1.03,0.143,0.001,-39.3,1,0,53.165131,-28.011948
J033239.55-280048.4,23.74,0.11,10.02,0.13,0.94,0.28,0.589,0.063,47.2,1,1,53.164778,-28.013444
J033241.35-280248.2,16.06,0.01,1.05,0.01,3.81,0.01,0.79,0.005,84.4,1,0,53.172288,-28.046726
J033239.71-280311.6,21.49,0.25,87.57,0.31,4.72,0.96,0.154,0.051,51.4,1,1,53.165445,-28.053214
J033239.77-280310.3,23.48,0.1,8.5,0.12,1.32,0.32,0.41,0.056,-23.2,1,1,53.165693,-28.052861
J033239.84-280052.0,23.16,0.01,0.3,0.12,0.2,0.48,0.669,0.001,-2.2,0,0,53.165989,-28.014442
J033239.91-280304.9,23.04,0.1,12.63,0.12,0.92,0.27,0.314,0.058,63.2,1,1,53.166281,-28.051361
J033240.25-280144.4,21.36,0.08,30.06,0.1,0.69,0.24,0.148,0.052,-37.2,1,1,53.167707,-28.029005
J033240.08-280129.1,22.55,0.14,24.12,0.17,1.67,0.43,0.434,0.06,11.5,1,1,53.167006,-28.024744
J033239.99-280124.9,23.59,0.12,11.46,0.16,1.8,0.42,0.436,0.056,7.8,1,1,53.166638,-28.023578
J033240.13-280232.4,23.11,0.1,8.52,0.12,0.52,0.27,0.816,0.06,-62.2,1,1,53.167223,-28.042341
J033240.41-280247.4,20.25,0.11,30.55,0.16,2.18,0.48,0.947,0.051,-14.4,1,1,53.168379,-28.04651
J033240.38-280342.8,21.2,0.09,16.57,0.11,1.3,0.3,0.673,0.053,6.2,1,1,53.168231,-28.061894
J033240.21-280301.0,24.34,0.07,4.12,0.09,1.45,0.28,0.341,0.045,-11.5,1,1,53.167529,-28.050284
J033240.74-280150.6,17.61,0.01,1.22,0.15,0.98,0.75,0.654,0.001,85.8,1,0,53.169765,-28.030733
J033240.23-280203.2,22.75,0.21,34.59,0.23,2.09,0.58,0.46,0.066,54.5,1,0,53.167643,-28.034212
J033240.56-280240.4,22.24,0.12,17.85,0.14,0.33,0.29,0.896,0.064,25.4,1,1,53.168988,-28.044553
J033240.45-280042.3,22.93,0.11,19.54,0.13,1.02,0.28,0.242,0.061,-71.9,1,1,53.168543,-28.011763
J033240.49-280303.4,23.97,0.09,5.03,0.11,1.12,0.27,0.544,0.053,-62.9,1,1,53.168707,-28.05095
J033240.54-280131.9,23.96,0.07,4.78,0.09,1.05,0.23,0.391,0.048,-39.6,1,1,53.168934,-28.025527
J033240.76-280236.3,23.44,0.11,9.5,0.13,0.86,0.28,0.68,0.061,59.0,1,1,53.169821,-28.043407
J033240.88-280134.0,23.23,0.11,12.16,0.13,0.47,0.28,0.488,0.061,-28.4,1,1,53.170319,-28.026119
J033241.04-280245.7,20.99,0.59,376.05,0.49,5.08,1.21,0.157,0.074,28.3,1,0,53.171014,-28.046038
J033241.06-280250.8,21.64,0.09,20.07,0.11,0.54,0.25,0.319,0.055,82.0,1,1,53.171066,-28.047448
J033242.92-280115.9,15.23,0.01,0.3,0.01,8.0,0.01,0.868,0.011,56.9,0,0,53.178827,-28.021075
J033241.14-280123.5,22.92,0.09,7.74,0.11,1.01,0.26,0.685,0.055,-65.4,1,1,53.171403,-28.023201
J033241.39-280322.4,23.13,0.11,16.19,0.13,0.53,0.28,0.358,0.062,-27.5,1,1,53.172478,-28.056227
J033241.31-280244.7,22.77,0.25,29.79,0.3,3.55,0.88,0.454,0.054,43.8,1,0,53.172111,-28.045761
J033241.62-280111.8,22.7,0.09,9.37,0.12,2.0,0.4,0.467,0.047,13.1,1,1,53.173403,-28.019932
J033241.61-280127.8,21.83,0.07,19.67,0.09,0.6,0.23,0.184,0.049,-81.0,1,1,53.173372,-28.024385
J033241.69-280159.9,21.9,0.15,29.73,0.17,1.55,0.42,0.629,0.062,62.0,1,1,53.173712,-28.033312
J033242.08-280228.1,20.76,0.08,30.06,0.11,1.46,0.31,0.263,0.05,-52.7,1,1,53.175341,-28.041145
J033242.03-280254.6,22.29,0.1,22.09,0.13,1.38,0.34,0.264,0.057,-10.4,1,1,53.175109,-28.048497
J033241.88-280302.7,22.65,0.18,15.89,0.25,8.0,0.86,0.741,0.041,-88.1,0,0,53.174505,-28.050747
J033241.86-280247.6,23.75,0.13,14.47,0.14,0.97,0.3,0.477,0.066,72.0,1,1,53.174399,-28.04656
J033242.23-280121.2,22.93,0.1,16.99,0.12,0.23,0.27,0.251,0.06,41.2,1,1,53.175957,-28.022543
