Magnification,Measured Magnification,Deviation error
0.94999999999999996,-0.0023657226562500133,6.0399037458597985e-06
0.96111111111111103,-0.00061008029513887063,6.1859195320017386e-06
0.97222222222222221,-0.0040232340494793517,1.2332882546951667e-07
0.98333333333333328,-0.0001860555013020182,1.4580894267833012e-07
0.99444444444444446,-0.00058268229166658081,6.6249608518422562e-06
1.0055555555555555,-0.0034001329210071596,1.4615494713409148e-07
1.0166666666666666,-0.005013834635416714,2.6274036141854521e-07
1.0277777777777777,-0.001304796006944331,1.1356368022747613e-06
1.038888888888889,0.00048190646701384843,1.9196187197003086e-07
1.05,-0.0044348144531249911,1.1948291208954332e-06
