   -0.12516E-10   -0.57971E-08    0.18128E-06    0.32984E-04    0.24893E-03    0.24893E-03    0.32984E-04    0.18128E-06   -0.57971E-08   -0.12516E-10
   -0.76006E-09   -0.46278E-06   -0.21209E-04    0.77688E-03    0.79282E-02    0.79282E-02    0.77688E-03   -0.21209E-04   -0.46278E-06   -0.76006E-09
   -0.16045E-07   -0.11158E-04   -0.85151E-03    0.10334E-02    0.77271E-01    0.77271E-01    0.10334E-02   -0.85151E-03   -0.11158E-04   -0.16045E-07
   -0.12054E-06   -0.89768E-04   -0.81271E-02   -0.58083E-01    0.19443E+00    0.19443E+00   -0.58083E-01   -0.81271E-02   -0.89768E-04   -0.12054E-06
   -0.32852E-06   -0.25206E-03   -0.24301E-01   -0.24014E+00    0.50150E-01    0.50150E-01   -0.24014E+00   -0.24301E-01   -0.25206E-03   -0.32852E-06
   -0.32852E-06   -0.25206E-03   -0.24301E-01   -0.24014E+00    0.50150E-01    0.50150E-01   -0.24014E+00   -0.24301E-01   -0.25206E-03   -0.32852E-06
   -0.12054E-06   -0.89768E-04   -0.81271E-02   -0.58083E-01    0.19443E+00    0.19443E+00   -0.58083E-01   -0.81271E-02   -0.89768E-04   -0.12054E-06
   -0.16045E-07   -0.11158E-04   -0.85151E-03    0.10334E-02    0.77271E-01    0.77271E-01    0.10334E-02   -0.85151E-03   -0.11158E-04   -0.16045E-07
   -0.76006E-09   -0.46278E-06   -0.21209E-04    0.77688E-03    0.79282E-02    0.79282E-02    0.77688E-03   -0.21209E-04   -0.46278E-06   -0.76006E-09
   -0.12516E-10   -0.57971E-08    0.18128E-06    0.32984E-04    0.24893E-03    0.24893E-03    0.32984E-04    0.18128E-06   -0.57971E-08   -0.12516E-10
